Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM	Tissue_specific
ABCA3	ABC-C, ABC3, EST111653, LBM180	ENSG00000167972	ATP binding cassette subfamily A member 3	16	2275881-2340746	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA007884	Enhanced	NA	Approved	Nucleoplasm<br>Cytosol	NA	Expressed in all	Tissue enhanced	NA	lung: 135.5	cerebral cortex: 51.5	Cell line enhanced	NA	SCLC-21H: 53.9;T-47d: 71.7	Lung
ACP5	HPAP, TRAP	ENSG00000102575	Acid phosphatase 5, tartrate resistant	19	11574660-11579008	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB002584, HPA057655, HPA059463	Enhanced	NA	Approved	Cytosol	NA	Expressed in all	Tissue enhanced	NA	lung: 254.0	lymph node: 86.3	Cell line enhanced	NA	BEWO: 36.2;SK-MEL-30: 85.3;U-138 MG: 97.5	Lung
ADAMTS8	ADAM-TS8, FLJ41712, METH2	ENSG00000134917	ADAM metallopeptidase with thrombospondin type 1 motif 8	11	130404925-130428993	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at transcript level	HPA066349	Approved	NA	NA	NA	Endometrial cancer:1.38e-4 (favourable)	Tissue enhanced	Tissue enhanced	NA	appendix: 10.9;lung: 15.5	seminal vesicle: 5.5	Cell line enhanced	NA	HMC-1: 3.2;NTERA-2: 1.8;U-2 OS: 8.7	Lung
ADGRF5	DKFZp564O1923, GPR116, KIAA0758	ENSG00000069122	Adhesion G protein-coupled receptor F5	6	46852512-46954943	G-protein coupled receptors, Plasma proteins, Predicted membrane proteins	Evidence at protein level	NA	NA	NA	NA	NA	Renal cancer:8.84e-5 (favourable)	Expressed in all	Tissue enhanced	NA	lung: 157.8	adipose tissue: 76.2	Group enriched	8	HUVEC TERT2: 20.7;TIME: 61.2	Lung
AGBL1	CCP4, FLJ32310	ENSG00000273540	ATP/GTP binding protein like 1	15	86079973-87029052	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	NA	NA	NA	NA	NA	NA	Not detected	Tissue enhanced	NA	lung: 1.3;skeletal muscle: 4.4	esophagus: 1.0	Not detected	NA	NA	Lung
ALDH3B1	ALDH7	ENSG00000006534	Aldehyde dehydrogenase 3 family member B1	11	68008578-68029282	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA038525	Uncertain	NA	NA	NA	Colorectal cancer:1.18e-4 (unfavourable), Pancreatic cancer:6.07e-4 (unfavourable)	Expressed in all	Tissue enhanced	NA	fallopian tube: 64.4;lung: 67.7	bone marrow: 30.7	Cell line enhanced	NA	A549: 137.9;CAPAN-2: 136.9	Lung
ALOX15	15-LOX-1	ENSG00000161905	Arachidonate 15-lipoxygenase	17	4630902-4642294	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB004962, CAB004963, HPA013859	Approved	NA	NA	NA	NA	Mixed	Tissue enhanced	NA	fallopian tube: 19.6;lung: 9.8	breast: 4.7	Group enriched	7	HMC-1: 13.6;MCF7: 10.8;T-47d: 3.9	Lung
ALOX5	5-LOX	ENSG00000012779	Arachidonate 5-lipoxygenase	10	45374176-45446119	Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA071285	Enhanced	NA	Supported	Nucleoplasm	Renal cancer:1.80e-5 (unfavourable), Urothelial cancer:7.18e-4 (favourable)	Expressed in all	Tissue enhanced	NA	lung: 41.3	bone marrow: 28.8	Cell line enhanced	NA	BEWO: 10.4;Daudi: 22.8;HMC-1: 20.7;RT4: 14.0;U-266/70: 11.3	Lung
ALPL	HOPS, TNSALP	ENSG00000162551	Alkaline phosphatase, liver/bone/kidney	1	21509372-21578412	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA007105, HPA008765, CAB020829	Enhanced	NA	Approved	Cytosol	Melanoma:7.08e-4 (unfavourable)	Expressed in all	Tissue enhanced	NA	lung: 78.8	kidney: 47.2	Group enriched	8	HAP1: 31.9;HSkMC: 126.3;hTEC/SVTERT24-B: 139.0;LHCN-M2: 85.3;NTERA-2: 40.7;SCLC-21H: 103.8	Lung
C11orf16	NA	ENSG00000176029	Chromosome 11 open reading frame 16	11	8920076-8933006	Predicted intracellular proteins	Evidence at transcript level	NA	NA	NA	NA	NA	Endometrial cancer:3.32e-4 (favourable)	Tissue enhanced	Tissue enhanced	NA	fallopian tube: 20.6;lung: 4.1	testis: 2.5	Not detected	NA	NA	Lung
C16orf89	MGC45438	ENSG00000153446	Chromosome 16 open reading frame 89	16	5044122-5066110	Predicted secreted proteins	Evidence at protein level	HPA013613, HPA016934	Enhanced	NA	NA	NA	NA	Group enriched	Tissue enhanced	NA	lung: 145.4;thyroid gland: 352.5	epididymis: 94.3	Cell line enhanced	NA	ASC diff: 1.4;Hep G2: 1.7;NTERA-2: 1.5;U-2197: 2.0	Lung
C1orf116	FLJ36507, MGC2742, MGC4309, SARG	ENSG00000182795	Chromosome 1 open reading frame 116	1	207018521-207032756	Predicted intracellular proteins	Evidence at protein level	HPA011888, HPA011889	Enhanced	NA	Supported	Plasma membrane<br>Cytosol	Renal cancer:1.01e-5 (favourable)	Mixed	Tissue enhanced	NA	esophagus: 112.4;lung: 109.2;prostate: 82.0	stomach: 54.9	Group enriched	5	A-431: 50.3;CAPAN-2: 87.3;HaCaT: 108.7;HBEC3-KT: 85.0;hTCEpi: 44.4;hTERT-HME1: 26.3;RPTEC TERT1: 42.8	Lung
C2	NA	ENSG00000166278	Complement C2	6	31897785-31945672	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB016775	Supported	NA	NA	NA	Renal cancer:2.64e-7 (unfavourable)	Tissue enriched	Tissue enhanced	NA	liver: 86.3;lung: 42.6	placenta: 21.9	Group enriched	5	Hep G2: 30.0;Karpas-707: 94.7	Lung
C2orf91	NA	ENSG00000205086	Chromosome 2 open reading frame 91	2	41935368-41954266	Predicted intracellular proteins	Evidence at transcript level	HPA042517	Uncertain	NA	NA	NA	NA	Tissue enriched	Tissue enhanced	NA	lung: 2.5	adrenal gland: 1.0	Group enriched	6	AN3-CA: 3.8;HDLM-2: 13.8	Lung
C5orf38	CEI, IRX2NB	ENSG00000186493	Chromosome 5 open reading frame 38	5	2752131-2755397	Predicted intracellular proteins	Evidence at protein level	HPA073667	NA	NA	Enhanced	Golgi apparatus<br>Vesicles	NA	Mixed	Tissue enhanced	NA	lung: 13.7;salivary gland: 13.0	skin: 8.5	Cell line enhanced	NA	BEWO: 79.2;hTCEpi: 32.4;SiHa: 37.3	Lung
CALCRL	CGRPR, CRLR	ENSG00000064989	Calcitonin receptor like receptor	2	187343129-187448460	G-protein coupled receptors, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA008070, HPA046515	Uncertain	NA	Supported	Plasma membrane	NA	Expressed in all	Tissue enhanced	NA	lung: 114.3	adipose tissue: 76.8	Cell line enhanced	NA	HUVEC TERT2: 145.5;RPTEC TERT1: 30.7;TIME: 20.7	Lung
CASS4	C20orf32, HEFL, HEPL	ENSG00000087589	Cas scaffolding protein family member 4	20	56412112-56460387	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB034217	Approved	NA	NA	NA	NA	Mixed	Tissue enhanced	NA	appendix: 17.7;lung: 23.9	spleen: 10.7	Cell line enhanced	NA	HEL: 15.8;HMC-1: 45.4;K-562: 19.8	Lung
CAV1	CAV	ENSG00000105974	Caveolin 1	7	116524785-116561184	Cancer-related genes, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB003791, HPA049326	Enhanced	NA	Supported	Golgi apparatus	Lung cancer:7.17e-5 (unfavourable), Renal cancer:1.29e-4 (unfavourable)	Expressed in all	Tissue enhanced	NA	lung: 859.9	adipose tissue: 640.4	Cell line enhanced	NA	LHCN-M2: 1943.1	Lung
CCDC190	C1orf110, MGC48998	ENSG00000185860	Coiled-coil domain containing 190	1	162824458-162868815	Predicted intracellular proteins	Evidence at transcript level	HPA028579, HPA028584, HPA028592	Uncertain	NA	Approved	Vesicles	NA	Mixed	Tissue enhanced	NA	esophagus: 3.7;lung: 2.8	fallopian tube: 0.8	Cell line enhanced	NA	hTEC/SVTERT24-B: 3.9;HUVEC TERT2: 4.0;LHCN-M2: 6.0;TIME: 13.6;U-2197: 8.2	Lung
CCL18	AMAC-1, CKb7, DC-CK1, DCCK1, MIP-4, PARC, SCYA18	ENSG00000275385	C-C motif chemokine ligand 18	17	36064280-36072032	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	NA	NA	NA	NA	NA	NA	Expressed in all	Tissue enhanced	NA	adipose tissue: 20.9;lung: 13.0;tonsil: 10.5	lymph node: 6.2	Not detected	NA	NA	Lung
CD101	IGSF2, V7	ENSG00000134256	CD101 molecule	1	117001750-117036476	CD markers, Predicted membrane proteins	Evidence at protein level	HPA049527, HPA057763	Approved	NA	Uncertain	Mitochondria	NA	Mixed	Tissue enhanced	NA	lung: 9.6	small intestine: 6.8	Cell line enriched	8	HMC-1: 24.0	Lung
CD300C	CMRF-35A, CMRF35, CMRF35A, IGSF16, LIR	ENSG00000167850	CD300c molecule	17	74541108-74546143	CD markers, Predicted membrane proteins	Evidence at transcript level	HPA014523	Approved	NA	NA	NA	Testis cancer:8.53e-5 (unfavourable)	Mixed	Tissue enhanced	NA	lung: 12.4	appendix: 9.5	Cell line enhanced	NA	HEL: 6.4;HMC-1: 29.3;U-937: 12.8	Lung
CD300LF	CD300f, CLM1, IGSF13, IREM1, NKIR	ENSG00000186074	CD300 molecule like family member f	17	74694311-74712978	CD markers, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA013712	Supported	NA	NA	NA	NA	Expressed in all	Tissue enhanced	NA	lung: 25.6;spleen: 28.0	appendix: 18.2	Group enriched	7	THP-1: 16.6;U-937: 37.2	Lung
CLEC14A	C14orf27	ENSG00000176435	C-type lectin domain family 14 member A	14	38254103-38256369	Predicted membrane proteins	Evidence at protein level	HPA039468, HPA048119	Uncertain	NA	Supported	Endoplasmic reticulum<br>Golgi apparatus	Head and neck cancer:4.13e-6 (favourable)	Expressed in all	Tissue enhanced	NA	lung: 76.1	adipose tissue: 40.9	Cell line enhanced	NA	fHDF/TERT166: 60.3;HUVEC TERT2: 345.4;TIME: 121.9	Lung
CLEC6A	CLECSF10, dectin-2	ENSG00000205846	C-type lectin domain family 6 member A	12	8455926-8478330	Predicted membrane proteins	Evidence at transcript level	NA	NA	NA	NA	NA	NA	Tissue enriched	Tissue enhanced	NA	appendix: 1.5;lung: 1.5	lymph node: 0.8	Cell line enhanced	NA	NTERA-2: 3.3	Lung
CLIC5	DFNB102	ENSG00000112782	Chloride intracellular channel 5	6	45898451-46080395	Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA074371	NA	NA	Supported	Nuclear speckles<br>Plasma membrane	NA	Tissue enhanced	Tissue enhanced	NA	lung: 116.1;skeletal muscle: 119.2	heart muscle: 76.0	Group enriched	7	CAPAN-2: 13.3;EFO-21: 10.0;HDLM-2: 5.7;REH: 13.6;U-266/70: 10.5	Lung
CNTN6	NB-3	ENSG00000134115	Contactin 6	3	1092576-1404217	Predicted membrane proteins	Evidence at protein level	HPA016645	Uncertain	NA	NA	NA	NA	Group enriched	Tissue enhanced	NA	lung: 4.6;thyroid gland: 17.4	cerebral cortex: 4.0	Group enriched	22	AF22: 2.0;SH-SY5Y: 2.4	Lung
COL6A6	NA	ENSG00000206384	Collagen type VI alpha 6 chain	3	130560334-130678155	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA045239	Uncertain	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	lung: 11.2	breast: 2.9	Not detected	NA	NA	Lung
CRTAC1	ASPIC1, CEP-68, FLJ10320	ENSG00000095713	Cartilage acidic protein 1	10	97865000-98030828	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA008175	Enhanced	NA	NA	NA	Endometrial cancer:5.01e-6 (unfavourable), Urothelial cancer:1.51e-4 (favourable), Renal cancer:1.85e-4 (favourable)	Tissue enhanced	Tissue enhanced	NA	cerebral cortex: 51.0;fallopian tube: 63.6;lung: 76.3;seminal vesicle: 48.1	urinary bladder: 12.8	Cell line enhanced	NA	HUVEC TERT2: 6.0;SCLC-21H: 5.6;SK-MEL-30: 6.3;TIME: 8.0	Lung
CSF2	GM-CSF, GMCSF	ENSG00000164400	Colony stimulating factor 2	5	132073790-132076170	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	HPA057404, HPA062006	NA	NA	Enhanced	Vesicles	NA	Mixed	Tissue enhanced	NA	lung: 3.0	urinary bladder: 0.9	Cell line enhanced	NA	BJ hTERT+: 74.1;hTEC/SVTERT24-B: 20.9	Lung
CTD-3214H19.16	NA	ENSG00000269711	NA	19	7678501-7682854	Predicted intracellular proteins	Evidence at transcript level	NA	NA	NA	NA	NA	NA	Not detected	Tissue enhanced	NA	bone marrow: 14.1;lung: 11.8	duodenum: 7.7	Cell line enhanced	NA	EFO-21: 12.1;HMC-1: 18.1;NB-4: 7.8;THP-1: 22.2;U-937: 19.1	Lung
CXCL17	Dcip1, DMC, UNQ473, VCC1	ENSG00000189377	C-X-C motif chemokine ligand 17	19	42428288-42443048	Predicted secreted proteins	Evidence at protein level	NA	NA	NA	NA	NA	Lung cancer:4.92e-5 (favourable), Pancreatic cancer:4.63e-4 (unfavourable)	Mixed	Tissue enhanced	NA	lung: 193.5;stomach: 289.7	esophagus: 83.1	Cell line enhanced	NA	RT4: 1.8	Lung
CYP4B1	NA	ENSG00000142973	Cytochrome P450 family 4 subfamily B member 1	1	46757838-46819413	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA004331	Approved	NA	Supported	Vesicles	Cervical cancer:5.99e-4 (favourable)	Tissue enhanced	Tissue enhanced	NA	lung: 382.2	fallopian tube: 79.0	Cell line enriched	9	RT4: 234.9	Lung
DNAH5	CILD3, Dnahc5, HL1, KTGNR, PCD	ENSG00000039139	Dynein axonemal heavy chain 5	5	13690331-13944543	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA037469, HPA037470	Enhanced	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	fallopian tube: 6.2;lung: 2.6	breast: 2.0	Cell line enhanced	NA	BJ hTERT+: 1.3;PC-3: 2.5;RPTEC TERT1: 1.1	Lung
EFCC1	C3orf73, CCDC48, FLJ12057	ENSG00000114654	EF-hand and coiled-coil domain containing 1	3	129001629-129040742	Predicted intracellular proteins	Evidence at transcript level	HPA042798, HPA050888	Uncertain	NA	NA	NA	Pancreatic cancer:9.70e-4 (favourable)	Mixed	Tissue enhanced	NA	lung: 4.9	spleen: 3.6	Cell line enhanced	NA	AF22: 1.3;HL-60: 3.0	Lung
EMP2	XMP	ENSG00000213853	Epithelial membrane protein 2	16	10528422-10580698	Disease related genes, Predicted membrane proteins	Evidence at protein level	HPA014711	Approved	NA	Approved	Nucleoplasm<br>Cytosol	Renal cancer:2.85e-8 (unfavourable), Glioma:1.93e-4 (unfavourable)	Expressed in all	Tissue enhanced	NA	lung: 343.9	skin: 166.6	Cell line enhanced	NA	MCF7: 205.4;SK-BR-3: 191.4	Lung
ESYT3	CHR3SYT, FAM62C	ENSG00000158220	Extended synaptotagmin 3	3	138434586-138481686	Predicted membrane proteins, Transporters	Evidence at protein level	HPA039200	Approved	NA	NA	NA	Lung cancer:8.30e-4 (favourable)	Tissue enhanced	Tissue enhanced	NA	lung: 8.4;skin: 7.5;thyroid gland: 8.5	endometrium: 3.7	Cell line enhanced	NA	NTERA-2: 4.1;SCLC-21H: 5.2;SiHa: 1.9	Lung
FBN3	NA	ENSG00000142449	Fibrillin 3	19	8065402-8149846	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA049482	Uncertain	NA	NA	NA	Endometrial cancer:5.15e-4 (unfavourable)	Tissue enhanced	Tissue enhanced	NA	lung: 2.1;thyroid gland: 1.8	cerebral cortex,salivary gland: 1.1	Cell line enhanced	NA	CACO-2: 3.1;NTERA-2: 12.3;REH: 16.9	Lung
FGFR4	CD334, JTK2	ENSG00000160867	Fibroblast growth factor receptor 4	5	177086886-177098144	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB005196, HPA027273, HPA027369, HPA028251	Approved	NA	NA	NA	NA	Mixed	Tissue enhanced	NA	lung: 38.9	duodenum: 21.4	Cell line enhanced	NA	CACO-2: 142.3;Hep G2: 118.3;RH-30: 260.0	Lung
FMO2	NA	ENSG00000094963	Flavin containing monooxygenase 2	1	171185208-171211230	Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA028261	Approved	NA	NA	NA	NA	Mixed	Tissue enhanced	NA	adipose tissue: 98.3;esophagus: 102.9;lung: 158.2	breast: 55.8	Group enriched	48	ASC diff: 27.9;ASC TERT1: 12.9;HSkMC: 35.2	Lung
FOLR1	FOLR	ENSG00000110195	Folate receptor 1	11	72189558-72196323	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA077030	NA	NA	Approved	Nuclear membrane	Liver cancer:2.50e-4 (unfavourable)	Tissue enhanced	Tissue enhanced	NA	cervix, uterine: 166.6;fallopian tube: 275.8;lung: 267.5	kidney: 152.7	Group enriched	6	HeLa: 298.2;RPTEC TERT1: 350.8	Lung
FOXA2	HNF3B	ENSG00000125798	Forkhead box A2	20	22581005-22585455	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB001388, HPA066846	Enhanced	NA	Supported	Nucleoplasm<br>Cell Junctions	Endometrial cancer:7.57e-6 (favourable), Pancreatic cancer:2.34e-4 (favourable), Ovarian cancer:6.28e-4 (favourable)	Mixed	Tissue enhanced	NA	cervix, uterine: 21.4;lung: 20.5;stomach: 31.0	liver: 11.5	Cell line enhanced	NA	A549: 16.1;HBEC3-KT: 14.5;Hep G2: 19.5;PC-3: 24.0;SCLC-21H: 52.3	Lung
GALNT5	GalNAc-T5	ENSG00000136542	Polypeptide N-acetylgalactosaminyltransferase 5	2	157257598-157314211	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA008963, HPA009035	Approved	NA	Approved	Nucleoli<br>Golgi apparatus<br>Vesicles<br>Cytosol	NA	Mixed	Tissue enhanced	NA	lung: 18.4;rectum: 19.7;stomach: 16.8	colon: 13.9	Cell line enhanced	NA	A-431: 60.2;BJ hTERT+: 63.9;fHDF/TERT166: 72.0;HaCaT: 69.5;LHCN-M2: 65.2	Lung
GDF10	BMP-3b	ENSG00000266524	Growth differentiation factor 10	10	47300386-47313547	Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA015498	Uncertain	NA	NA	NA	NA	Mixed	Tissue enhanced	NA	lung: 19.6	testis: 9.0	Cell line enhanced	NA	AF22: 14.6;MOLT-4: 2.6;SH-SY5Y: 6.4	Lung
GGT2	GGT	ENSG00000133475	Gamma-glutamyltransferase 2	22	21207973-21227637	Predicted membrane proteins	Evidence at protein level	HPA045635, HPA047534, HPA065444	Supported	NA	Approved	Vesicles	NA	Tissue enhanced	Tissue enhanced	NA	lung: 1.3;thyroid gland: 1.5	breast,salivary gland: 0.9	Cell line enhanced	NA	HDLM-2: 1.5;HeLa: 2.0;U-2197: 8.2	Lung
GGTLC3	NA	ENSG00000274252	Gamma-glutamyltransferase light chain 3	22	18516344-18518161	Predicted intracellular proteins	Evidence at protein level	HPA045635, HPA047534	Uncertain	NA	NA	NA	NA	Not detected	Tissue enhanced	NA	lung: 1.9;testis: 1.0	small intestine: 0.5	Cell line enhanced	NA	U-2197: 1.0	Lung
GPRC5A	PEIG-1, RAI3, RAIG1, TIG1	ENSG00000013588	G protein-coupled receptor class C group 5 member A	12	12890782-12917937	G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA007928, HPA046526	Enhanced	NA	Enhanced	Vesicles<br>Plasma membrane	Pancreatic cancer:4.63e-6 (unfavourable), Renal cancer:9.02e-5 (unfavourable)	Mixed	Tissue enhanced	NA	lung: 302.0	thyroid gland: 91.3	Cell line enhanced	NA	CAPAN-2: 1167.5;SiHa: 520.3	Lung
GPRIN2	KIAA0514, MGC15171	ENSG00000204175	G protein regulated inducer of neurite outgrowth 2	10	46549044-46555530	Predicted intracellular proteins	Evidence at protein level	HPA038129	Approved	NA	Approved	Nucleoplasm	Endometrial cancer:8.60e-8 (unfavourable), Head and neck cancer:3.47e-4 (favourable)	Mixed	Tissue enhanced	NA	lung: 18.0;skin: 18.8	small intestine: 11.7	Group enriched	5	A-431: 12.9;A549: 38.1;SiHa: 8.3;SK-BR-3: 17.1	Lung
GRP	NA	ENSG00000134443	Gastrin releasing peptide	18	59220168-59230774	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	NA	NA	NA	NA	NA	NA	Mixed	Tissue enhanced	NA	lung: 13.4;thyroid gland: 10.4	parathyroid gland: 3.9	Group enriched	8	BJ hTERT+: 4.2;fHDF/TERT166: 5.1	Lung
HAS3	NA	ENSG00000103044	Hyaluronan synthase 3	16	69105564-69118719	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA031554, CAB033850	Supported	NA	Approved	Microtubules	Pancreatic cancer:5.36e-4 (unfavourable)	Group enriched	Tissue enhanced	NA	lung: 29.9;urinary bladder: 36.4	stomach: 11.8	Cell line enhanced	NA	HaCaT: 46.5;PC-3: 257.9;RT4: 89.2	Lung
HHIP	FLJ20992, HIP	ENSG00000164161	Hedgehog interacting protein	4	144646021-144745271	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA012616	Uncertain	NA	Approved	Nucleoplasm	NA	Mixed	Tissue enhanced	NA	lung: 24.2	cerebral cortex: 10.8	Group enriched	6	HUVEC TERT2: 269.0;RH-30: 62.9;TIME: 306.5	Lung
HLA-C	D6S204, HLA-JY3, PSORS1	ENSG00000204525	Major histocompatibility complex, class I, C	6	31268749-31272130	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	NA	NA	NA	NA	NA	NA	Expressed in all	Tissue enhanced	NA	lung: 744.7	small intestine: 396.9	Cell line enhanced	NA	A-431: 660.6;EFO-21: 748.1;RPTEC TERT1: 346.0;U-266/70: 367.3;U-266/84: 281.2	Lung
HLA-DMA	D6S222E, RING6	ENSG00000204257	Major histocompatibility complex, class II, DM alpha	6	32948613-32969094	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA012750, HPA017295	Enhanced	NA	Approved	Vesicles	Endometrial cancer:4.64e-5 (favourable), Lung cancer:4.59e-4 (favourable)	Expressed in all	Tissue enhanced	NA	lung: 65.0	fallopian tube: 41.9	Cell line enhanced	NA	U-266/70: 22.0;U-266/84: 9.5;U-698: 52.4	Lung
